,Number
2014-09-01 23:04:00,8665
2014-09-01 23:06:00,7349
2014-09-01 23:08:00,5328
2014-09-01 23:10:00,4531
2014-09-01 23:12:00,4840
2014-09-01 23:14:00,6138
2014-09-01 23:16:00,5235
2014-09-01 23:18:00,5042
2014-09-01 23:20:00,5437
2014-09-01 23:22:00,7150
2014-09-01 23:24:00,5231
2014-09-01 23:26:00,6042
2014-09-01 23:28:00,4535
2014-09-01 23:30:00,4824
2014-09-01 23:32:00,5435
2014-09-01 23:34:00,4629
2014-09-01 23:36:00,4331
2014-09-01 23:38:00,6143
2014-09-01 23:40:00,4932
2014-09-01 23:42:00,4129
2014-09-01 23:44:00,5036
2014-09-01 23:46:00,5234
2014-09-01 23:48:00,4331
2014-09-01 23:50:00,5434
2014-09-01 23:52:00,4740
2014-09-01 23:54:00,3729
2014-09-01 23:56:00,4032
2014-09-01 23:58:00,4232
2014-09-02 00:00:00,4029
2014-09-02 00:02:00,4739
2014-09-02 00:04:00,3926
2014-09-02 00:06:00,3220
2014-09-02 00:08:00,4831
2014-09-02 00:10:00,5136
2014-09-02 00:12:00,3118
2014-09-02 00:14:00,3122
2014-09-02 00:16:00,3729
2014-09-02 00:18:00,4634
2014-09-02 00:20:00,4026
2014-09-02 00:22:00,3527
2014-09-02 00:24:00,2320
2014-09-02 00:26:00,2724
2014-09-02 00:28:00,3624
2014-09-02 00:30:00,4025
2014-09-02 00:32:00,3426
2014-09-02 00:34:00,3525
2014-09-02 00:36:00,2814
2014-09-02 00:38:00,3728
2014-09-02 00:40:00,3424
2014-09-02 00:42:00,4625
2014-09-02 00:44:00,2115
2014-09-02 00:46:00,2917
2014-09-02 00:48:00,3722
2014-09-02 00:50:00,2923
2014-09-02 00:52:00,2319
2014-09-02 00:54:00,3324
2014-09-02 00:56:00,2214
2014-09-02 00:58:00,2521
2014-09-02 01:00:00,3123
2014-09-02 01:02:00,3122
2014-09-02 01:04:00,3730
2014-09-02 01:06:00,2715
2014-09-02 01:08:00,1812
2014-09-02 01:10:00,2416
2014-09-02 01:12:00,1913
2014-09-02 01:14:00,2818
2014-09-02 01:16:00,2415
2014-09-02 01:18:00,1816
2014-09-02 01:20:00,1207
2014-09-02 01:22:00,3120
2014-09-02 01:24:00,2614
2014-09-02 01:26:00,2514
2014-09-02 01:28:00,1612
2014-09-02 01:30:00,2009
2014-09-02 01:32:00,2316
2014-09-02 01:34:00,2212
2014-09-02 01:36:00,1411
2014-09-02 01:38:00,2011
2014-09-02 01:40:00,2109
2014-09-02 01:42:00,1714
2014-09-02 01:44:00,2214
2014-09-02 01:46:00,1808
2014-09-02 01:48:00,1508
2014-09-02 01:50:00,1811
2014-09-02 01:52:00,1813
2014-09-02 01:54:00,1411
2014-09-02 01:56:00,1510
